"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"L1 (Sig) (mm)";"L2 (Gnd) (mm)";"L3 (Pwr) (mm)";"L4 (Sig+Pwr) (mm)";"L5 (Gnd) (mm)";"L6 (Sig+Pwr) (mm)";"L7 (Gnd) (mm)";"L8 (Sig) (mm)";
158;"ZYNQ_PS_MIO12";2;2;1,1846;13,5944;9,1742;23,9532;0,5574;0,0000;0,0000;0,0000;0,0000;11,8243;0,0000;1,2127;
159;"IO_L9_DQS_P_33";2;0;0,0000;10,0567;11,9650;22,0217;10,0567;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
160;"IO_L1_N_33";2;1;1,1846;8,4335;11,7933;21,4114;6,8048;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,6287;
161;"IO_L6_VREF_N_34";2;2;1,1846;11,9205;6,5950;19,7001;0,5657;0,0000;0,0000;10,4130;0,0000;0,0000;0,0000;0,9418;
162;"IO_L22_N_34";2;1;1,1846;7,2973;10,9117;19,3936;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;6,7316;
163;"IO_L3_DQS_N_33";2;1;1,1846;9,3636;12,0017;22,5499;8,4577;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9058;
164;"IO_L16_N_35";2;1;1,1846;7,7147;14,6367;23,5360;6,9040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8107;
165;"IO_L8_P_13";2;1;1,1846;10,2282;25,9983;37,4111;9,2588;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9694;
166;"IO_25_33";2;2;1,1846;9,0849;7,1692;17,4387;0,5657;0,0000;0,0000;0,0000;0,0000;7,6988;0,0000;0,8204;
167;"IO_L21_DQS_P_33";2;1;1,1846;8,1460;14,5333;23,8639;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,5803;
169;"IO_L16_P_13";2;1;1,1846;8,7845;12,7483;22,7174;7,7990;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9856;
170;"IO_L16_N_33";2;1;1,1846;8,2642;7,8017;17,2505;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,6985;
171;"IO_L24_N_34";2;2;1,1846;22,6809;11,4283;35,2938;0,5657;0,0000;0,0000;0,0000;0,0000;21,0467;0,0000;1,0686;
172;"IO_L24_P_34";2;2;1,1846;9,7056;7,3200;18,2102;0,5657;0,0000;0,0000;7,1556;0,0000;0,0000;0,0000;1,9843;
173;"IO_L10_N_35";2;1;1,1846;14,8690;12,5092;28,5628;13,8793;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9897;
174;"IO_L5_N_35";2;2;1,1846;28,6284;6,2675;36,0805;0,5657;0,0000;0,0000;22,2042;0,0000;0,0000;0,0000;5,8585;
175;"IO_L23_N_33";2;1;1,1846;10,3074;10,8750;22,3670;9,3245;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9828;
176;"IO_L20_P_34";2;2;1,1846;18,3703;15,0783;34,6332;0,5657;0,0000;0,0000;0,0000;0,0000;16,9196;0,0000;0,8850;
177;"IO_L4_N_34";2;2;1,1846;15,4349;19,7300;36,3495;0,5657;0,0000;0,0000;13,5128;0,0000;0,0000;0,0000;1,3564;
178;"IO_L7_P_33";2;0;0,0000;3,6720;14,6267;18,2987;3,6720;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
179;"IO_L8_P_34";2;1;1,1846;8,5810;8,6417;18,4073;7,4574;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,1236;
180;"IO_L22_P_33";2;1;1,1846;8,1269;13,4525;22,7640;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,5612;
181;"IO_L24_N_35";2;1;1,1846;9,2362;10,8650;21,2858;8,2890;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9471;
182;"IO_L19_P_35";2;1;1,1846;7,1813;4,9567;13,3226;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;6,6156;
183;"IO_L16_P_35";2;1;1,1846;9,9352;13,4158;24,5356;9,0416;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8936;
184;"IO_L24_P_33";2;1;1,1846;10,2964;12,8842;24,3652;9,4364;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8600;
185;"IO_L4_N_35";2;2;1,1846;27,0651;9,9950;38,2447;0,5657;0,0000;0,0000;0,0000;0,0000;25,5154;0,0000;0,9840;
186;"IO_L7_N_13";2;1;1,1846;10,0475;23,2575;34,4896;9,0971;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9504;
187;"IO_L18_N_33";2;1;1,1846;8,3289;14,2325;23,7460;7,3582;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9707;
188;"IO_L5_P_33";2;1;1,1846;9,9384;9,3150;20,4380;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,3727;
189;"IO_L5_N_34";2;2;1,1846;14,0937;19,5075;34,7858;0,5657;0,0000;0,0000;0,0000;0,0000;12,5225;0,0000;1,0055;
190;"IO_L4_P_13";2;1;1,1846;8,7720;45,1183;55,0749;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,2063;
191;"IO_L2_N_33";2;1;1,1846;7,4662;12,0067;20,6575;6,4951;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9711;
192;"VIN";31;23;20,1382;0,0000;0,0000;20,1382;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
193;"/Power/VSET";2;0;0,0000;0,9797;0,0000;0,9797;0,9797;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
194;"Net-(U4-FB)";3;0;0,0000;2,4186;0,0000;2,4186;2,4186;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
195;"/Ethernet PHY/CLK_25MHz";3;1;1,1846;1,7323;0,0000;2,9169;1,7323;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
196;"/USB HS PHY/USB_ULPI_CLKOUT_T";2;1;1,1846;2,6093;0,0000;3,7939;2,2971;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3122;
197;"USB_ULPI_CLKOUT";2;0;0,0000;4,4906;9,9342;14,4248;4,4906;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
198;"USB_ULPI_NXT";2;1;1,1846;25,2161;7,1433;33,5440;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24,6504;
199;"USB_ULPI_DATA6";2;1;1,1846;18,9641;13,7292;33,8779;0,5757;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;18,3884;
