Ref,Val,Package,PosX,PosY,Rot,Side
"R81","100k","R_0402_1005Metric",13.000000,30.500000,-90.000000,bottom
"R82","100k","R_0402_1005Metric",6.525000,31.250000,90.000000,bottom
"R83","100k","R_0402_1005Metric",7.125000,32.725000,0.000000,bottom
"R87","10k","R_0402_1005Metric",18.140000,32.800000,180.000000,bottom
"R88","10k","R_0402_1005Metric",12.140000,7.810000,180.000000,bottom
"R89","10k","R_0402_1005Metric",10.230000,7.820000,180.000000,bottom
"R92","10k","R_0402_1005Metric",31.300000,14.050000,0.000000,bottom
"R93","10k","R_0402_1005Metric",34.300000,14.400000,110.000000,bottom
"R97","10k","R_0402_1005Metric",10.800000,32.900000,90.000000,bottom
"R98","4k7","R_0402_1005Metric",32.840000,14.430000,-90.000000,bottom
"U5","USB3318","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",24.000000,33.125000,-90.000000,bottom
"U7","IS21ES08G","BGA153N50P14X14_1150X1300X100",13.064998,23.430001,-90.000000,bottom
"X1","ASCO","Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm",19.125000,34.875000,0.000000,bottom
"X3","CMOS_OSC","Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm",26.050000,26.650000,90.000000,bottom
