Zynq_SoM_J3
Pin,Name,Side
1,+VCCO_35,left
2,+VCCO_35,right
3,GND,left
4,+VCCO_35,right
5,IO_L10_P_35,left
6,GND,right
7,IO_L10_N_35,left
8,IO_L11_SRCC_P_35,right
9,IO_L13_MRCC_P_35,left
10,IO_L11_SRCC_N_35,right
11,IO_L13_MRCC_N_35,left
12,GND,right
13,GND,left
14,IO_L12_MRCC_P_35,right
15,IO_L15_DQS_N_35,left
16,IO_L12_MRCC_N_35,right
17,IO_L15_DQS_P_35,left
18,GND,right
19,IO_L7_P_34,left
20,IO_L14_SRCC_N_35,right
21,IO_L24_N_34,left
22,IO_L14_SRCC_P_35,right
23,GND,left
24,IO_L21_DQS_P_35,right
25,IO_L18_N_35,left
26,IO_L21_DQS_N_35,right
27,IO_L18_P_35,left
28,GND,right
29,IO_L16_N_35,left
30,IO_L20_P_34,right
31,IO_L16_P_35,left
32,IO_L20_N_35,right
33,GND,left
34,IO_L20_P_35,right
35,IO_L17_N_35,left
36,IO_L5_N_34,right
37,IO_L17_P_35,left
38,GND,right
39,IO_L3P_PUDC_34,left
40,IO_L7_N_34,right
41,IO_L4_N_34,left
42,IO_L22_P_35,right
43,GND,left
44,IO_L22_N_35,right
45,IO_L23_N_35,left
46,IO_L12_MRCC_P_34,right
47,IO_L23_P_35,left
48,GND,right
49,IO_L24_N_35,left
50,IO_L19_P_35,right
51,IO_L24_P_35,left
52,IO_L19_N_VREF_35,right
53,GND,left
54,IO_L11_SRCC_P_34,right
55,IO_L8_P_34,left
56,IO_L11_SRCC_N_34,right
57,IO_L8_N_34,left
58,GND,right
59,IO_L9_DQS_P_34,left
60,IO_L5_P_34,right
61,IO_L9_DQS_N_34,left
62,IO_L12_MRCC_N_34,right
63,GND,left
64,IO_L13_MRCC_N_34,right
65,IO_L10_N_34,left
66,IO_L13_MRCC_P_34,right
67,IO_L10_P_34,left
68,GND,right
69,IO_L15_DQS_N_34,left
70,IO_L14_SRCC_N_34,right
71,IO_L15_DQS_P_34,left
72,IO_L14_SRCC_P_34,right
73,GND,left
74,IO_L18_N_34,right
75,IO_L16_P_34,left
76,IO_L20_N_34,right
77,IO_L16_N_34,left
78,IO_L6_VREF_N_34,right
79,IO_L17_P_34,left
80,GND,right
81,IO_L17_N_34,left
82,IO_L24_P_34,right
83,GND,left
84,IO_L22_N_34,right
85,IO_L2_P_33,left
86,IO_L1_P_33,right
87,IO_L2_N_33,left
88,IO_L23_P_34,right
89,IO_L1_N_33,left
90,GND,right
91,IO_L3_DQS_P_33,left
92,IO_L5_P_33,right
93,IO_L3_DQS_N_33,left
94,IO_L5_N_33,right
95,GND,left
96,IO_L4_N_33,right
97,+VCCO_34,left
98,IO_L4_P_33,right
99,+VCCO_34,left
100,GND,right
